text,a1,a2,a3,a4,a5,a6,a7,a8
 this is nothing compared to their ep which was great by the way. songs lack of inventive arrangements and feeling... maybe a couple of songs are to be rescued but no more ,positive,negative,negative,positive,negative,negative,negative,negative
 think twice before purchase: 1. most of the good tracks are available on the non-copy protected all-time top 100 tv themes along with the best themes from other networks. 2. this disc has cds-100 copy protection so you probably can't upload to windows media and definitely not to itunes. i could not upload from my internal cd drive only from an external multi-format cd/dvd burner. it still only uploaded to windows media not itunes. to get into itunes i had to add the wma files and then convert them to mp3. this probably caused some quality loss as i'm converting one compressed format to another compressed format! a time-consuming and tedious process which could have been avoided altogether if music companies would get over this fixation on controlling everything. hello record execs: if nobody can add your discs to their libraries guess what happens? they don't play your music!!! you might think you're protecting your valuable investment but you're shooting yourself in the foot instead. here's how it goes: 1. nobody can upload your music. 2. nobody plays your music. 3. nobody hears your music. 4. nobody recommends your music. 5. nobody buys your music. remember this only loaded from a particular kind of drive so it may or may not work on yours. as bela lugosi would say: bevare ,positive,negative,negative,positive,negative,negative,negative,negative
 all i have to say is great album ,positive,positive,positive,positive,negative,negative,negative,negative
 it is good for old eric gale fans to be able to purchase this cd. it will bring back many memories. it will also remind you of how great a guitar player he was. i am grateful that i've had a chance to own many recordings that he has played on. pay close attention to she is my lady and morning glory. this is a must have cd. jaye price beltsville md. ,positive,positive,negative,positive,positive,negative,positive,negative
 i am a 23 yr old mother of a 2 1/2 yr old. not only are these children horrible singers but there is a reason that most parents don't let their children listen to the original songs... they teach them things they don't need to know. i thought this would be a kids version that would get rid of that stuff when i let a child i was babysitting put the cd on... and was appalled at how much they talked about sex and other innappropriate things for children. they didn't take that out! children are exposed to that every day in our world now telling them it is normal and ok. parents have a big enough job to teach their children right and wrong with the way the world is today. it becomes a much harder job when you give them something that is for kids that teaches them that those things are normal. they assume if it is ok for a kids cd it can't be that bad. i think this is horrible and would never spend a penny on it for a child! some of the songs i like in the originial version and do listen to and this cd has ruined them! but when it comes to children who are too young to understand that it is just a song and doesn't mean what they say is ok... i think it is the worst thing you could buy for your child ,positive,negative,negative,positive,negative,positive,negative,negative
 this is a good compilation of afi's songs over the 10+ years they've been together. it's easily worthy of 10 stars. this cd allows newcomers to listen to the progress leading up to sing the sorrow and to get more intimate with the band. i havn't purchased this album yet because i already have all their albums but plan on it. the new tracks are from the answer that and very proud of ya era. they've finally been released on cd. this is a cool little feature fo newcomers also. anyway buy this album only if you havn't heard any of afis music but want to give it a try ,positive,negative,positive,positive,negative,positive,positive,negative
 we bought this - on cassette - in washington dc on our first day of honeymoon in september 1997. having flown from northern ireland it provided us with the perfect honeymoon soundtrack as we drove from washington to nashville along the skyline drive down through south west virginia across eastern kentucky to berea and down to smoky mountains national park in tennessee. we are from an ulster-scots/scotch-irish background and during those three weeks we fell in love with the land that our forebears had settled in so many centuries before bringing thier fiddles and folk songs with them creating what was the core of mountain old-time music and bluegrass. from the carter family right through every song is a classic. you must buy this ,positive,positive,positive,negative,negative,positive,positive,negative
 it's sometimes hard to think there are really anymore pleasing melodies out there but thank halstead & co. for proving me wrong. i am happily pleased with their latest and very eagerly awaited effort. instead of the depths of melancholia and loveliness on say out of tune they give us 41+ minutes of what seems like basically it's good everything's going just way ok... it's happy. maybe i'll hear a lyric later that says something else but for those for whom music is the priority you can't go wrong with this considered and experienced and artful pop. four and a half stars ,positive,negative,positive,positive,positive,negative,negative,negative
 i love this cd! i often put it in my personal cd player and take it to the coffee shop to help me as i study french. the music is relaxing but not sleep-inducing. steven halpern composes great music ,positive,positive,positive,negative,positive,negative,positive,negative
 i read some of the other reviews before i submitted this. i don't see how someone could get upset over the liner notes. redd doesn't include danny gatton as an influence because he didn't listen to him. as far as other reviews concerning tone and the lack of fire well i don't even know how to address that. redd has one of the best tones i've heard on the tele and his note selection is what sets him apart from other pickers. ever hear of diarrhea of the guitar? well you won't get that on this cd because redd doesn't play something to just play it. this cd showcases redd's versatility from country to swing to blues to rock it has it all. if you like good pickin' then by this cd ,positive,negative,positive,negative,positive,positive,positive,positive
 it's sad that people can get a record deal for beinga good kareoke singer. yeah maybe my fish can get a record deal: they sing in tone can breath but refue to lip-synch(i know it sounds gay). this is just sad because bands that play their own instruments write their own songs and perform their own songs can pretty much get almost no attention. let's take the band king's x: doug pinnick (vocals/bass) is an amazing metal singer who can sing in perfect pitch and writes good lyrics about god (king's x is a christian band); ty tabor (guitar/vocals) has some of the bestguitar solos you probably don't know; and jerry gaskill (drums/vocals) has some pretty complicated rhythm patterns...yet only like a few dozen people (i know a lot more people than that like kx; i'm just exagerating) seem to like this band. it's sad. if you want good music listen to the band i just menioned (king's x if you weren't paying attention). (if amazon doesn't post this i will seriously get poed! ,negative,negative,positive,negative,negative,positive,negative,negative
 ..of little teenage white girls trying to sound like thirty-year-old black women. first it was britney spears then it was christina aguilera now it's joss stone. the former at least have something going for them; britney's first album had catchy beats and even though aguilera's style is incredibly trashy she does have enormous vocal power and range if she would only stop trying so hard. try as i might though i just don't understand the appeal of joss stone. i didn't buy this album; a friend of mine likes it and i've had to listen to it enough times to want to rip my ears right out of my head. i don't see what is fresh or original about ripping off janis joplin and the generally much more talented black soul singers. maybe it's the rick astley effect: you don't expect that voice coming out of that face. you don't expect a squinty little teenaged blonde to growl and screech like a deranged cat. but that effect can only take you so far as rick astley himself found out. this album is not only an unpleasant listening experience because of the stupid songs (dirty man basically just repeats you're a dirty man... with very minor variations along with a great deal of unnecessary caterwauling) and the nails-down-a-chalkboard voice of stone herself - it's a depressing reminder of how low our culture has sunk when it can't come up with any culture based on its own heritage but slavishly copycats things from another culture that seems more cool. stone like aguilera and spears tries to sing like an older black woman a woman with soul - an aretha franklin or a gloria gaynor. but stone et al. sound like little girls clattering around in grown-up shoes. they haven't been alive long enough to live similar experiences of the women they are trying to imitate. their singing rings hollow to me show-offy and fake. stone could rival aguilera in shameless and unnecessary vocal theatrics though she has nowhere near aguilera's sweetness or range. her voice might be described as smoky by some; to me it sounds gravelly sandpapery and as pleasant as scraping your knees on asphalt. i don't understand why anyone in the right mind would willingly put themselves through the ordeal of listening to this cd much less enjoy it. i guess fake is good enough for some people. it makes me chuckle though to hear people rave about her voice as authentic. if you're looking for soul try macy gray. she's for real. try the hugely talented but woefully ignored tasmin archer and karen rodriguez. those are fresh authentic voices that will make you realize what a load of bollocks joss stone and her ilk truly are. the only white woman i have ever heard who could sing like she was black was linda ronstadt. go back and listen to a ronstadt classic like hurts so bad and compare it to this modern-day drivel. ronstadt sang with real feeling real knowledge real pain - worlds apart from this fake plastic imitation of soul that seems to be the rule and not the exception these days. i gave this one star because there is no zero-stars option. joss stone is just a musical chav an unconvincing shoplifter of another better culture ,positive,negative,negative,negative,negative,negative,negative,negative
 as we all know by now lil' jon is not known for his lyrical capabilities but for his platinum productions and ability to find guest artists perfect for his songs. he is truly the king of crunk. many of the songs on the album are much like the hit single get low feat. the ying yang twins- strong pumping dacefloor beats lots of swearing and yelling constantly yeeah! whuut? and okaay! buying the edited version (if there is one) would be a total waste. this album is not for the meek or faint hearted! much of the songs hardly have many words from lil jon himself mostly from the featured artists. these include petey pablo 8ball and mjg chyna whyte pastor troy jadakiss styles p. ect. my faveorites 1) throw it up w/ pastor troy- a 'hood representing song with a thumping beat 2) get low 3) rep yo city w/ petey pablo bun b- a very good song with talents all around 4) knockin' heads off- again jon struts his stuff 5) i don't give a...- perfect for before game pumping musi ,positive,positive,positive,positive,positive,negative,positive,negative
 with all the 'neuvo flamenco' and its accompaning popularity. it is nice (and a relief) i might add to hear the flamenco guitar in its purist form. not only does this cd contain sabicas and nino ricardo. it also contains four very rare perfomances by manolo de huelva. which are difficult to find anywhere. also included are melchor de marchena performing six pieces. this is truly pure flamenco at its best ,positive,positive,positive,negative,positive,positive,positive,negative
 mr. kimbrough done come thru with the dirt on this one. this aint just blues music it's soul music right in there with isaac hayes and nem. it's hard played and honest and that's the true pleasure of it ,positive,negative,positive,negative,positive,positive,positive,negative
 i have to admit that even though i am a big fan of diesel boy this cd was very boring. the beats are too similar on every track and the cd as a whole just has no &quot;feeling&quot; to it. if you want to hear him at his best by 97 octane ,negative,negative,negative,positive,negative,negative,negative,negative
 bad news is that i wasted my time listening to this whinefest. good news is that i bought it used. i give it two stars because there are two tolerable songs on the cd and she is a cutie. more good news. i re-sold it for my purchase price ,positive,negative,negative,negative,negative,positive,negative,negative
 the best place to start with the best is at the beginning. enya's the celts (identical to the original 1980s release simply called enya) is a beautiful collection of music. enya is not an artist where you just get the best of album. every cd is a best of in itself ,positive,negative,positive,positive,positive,positive,positive,negative
 before i review this classic rolling stones album i just want to point out that juke box hero and whirligig are one in the same person. a troll who likes to trash great music and praise dire straits(who are a good band but nit the greatest) and green day. i say cut the shenanigans! now that is off my chest back to the review! the rolling stones' second album to be released on their own label fittingly called rolling stones records which was distributed by atlantic at the time(now virgin/capitol) entitled exile on main street was released in may of 1972. the album was the band's only double studio album but is one of rock's greatest double studio albums in history and ranks up there with other classic 2-record sets like the wall quadrophenia the lamb lies down on broadway and tommy among others. before guitarist keith richards' heroin addiction took over for some time in the mid-1970s he was what the late producer jimmy miller called a workhorse. the album was recorded at keith's home in france and at olympic studios in london and muscle shoals in alabama and in los angeles. keith's music and frontman mick jagger's lyric writing was arguably at its peak on exile on main street. songs like the opening rocker rocks off the 50s sounding rocker rip this joint the album's hit tumbling dice the country-ish sweet virginia keith's classic rocker happy(and it is his most famous track which he sang) the slow-ish soul survivor the fast-paced blues rocker all down the line and the soul sounding shine a light are classics which sound like they could have been recorded yesterday. ventilator blues was another highlight as it was the only song that mick and keith wrote was co-written by guitarist mick taylor whom just tore the place up from 1969-74(his solos just rocked from 1969-74). exile on main street was the rolling stones' second consecutive #1 album and another million seller. the tour in support of the album saw the band getting bigger and bigger. almost 35 years on this album is still a classic! this album is hugely recommended ,positive,positive,positive,negative,positive,positive,positive,positive
 my youngest brother who has a pretty strange sense of humor bought me this cd for my birthday; i wonder how he knew i didn't own it already? i don't even know where to begin with this one. what can you say about somebody who poses for an album cover in rainbow-painted panties while licking a heart-shaped lolli-pop? and the foldout poster of her reclining on pink satin sheets with said lolli-pop is downright laughable. does she expect anyone to take her seriously? after her first album i thought carey had a remarkable talent that needed some fine-tuning particularly in regard to her penchant for singing cliches. instead of getting better though she has turned her career into a self-debasing fantasy of baby-doll mannerisms coupled with relentlessly monotonous song choices. rappers like jay-z snoop dogg missy elliott and usher are brought in to add spice but they only drown in the sticky-sweet syrup of gunk that she chooses to sing. she may have a lot of #1 hits but who can tell any of them apart? rainbow is only carey's latest entry in a career that has lowered the quality standard for divas everywhere. d- tom rya ,positive,negative,negative,positive,positive,negative,negative,negative
 i am wondering when this plague will be over.... and when we'll be set free to listen to real music... we all are so tired of her ,negative,negative,positive,negative,negative,negative,positive,negative
 i received the piano promptly and in pristine excellent condition. ,positive,positive,positive,positive,positive,positive,negative,negative
 i agree fully with &quot;a music fan&quot; above ... this and david's self titled album are really poor in comparison to the rest of his solo work. i love most of talking heads music but don't rate remain in light highly like most fans do ,negative,negative,positive,negative,negative,positive,negative,negative
 .and so worth the price of admission. 6 cds worth to be exact. coleman's musical voice is so free and full of life! it really is beautiful ,positive,negative,positive,negative,positive,positive,positive,negative
 too lisa loeb for me. sorry. maybe if someone else wrote her lyrics ,negative,negative,negative,negative,negative,negative,negative,negative
 nightrage - descent into chaos - thomas lindberg's latest offering to the music community is the swedish and greek mix called nightrage. this album actually being my first offering to the band i was unsure what to expect. like most i am a big fan of atg and lindberg's harsh vocal styles.... nightrage however came as a pleasant surprise. (as in it wasn't yet another atg clone) they seem to have more melody than thrash but definitely embody aspects of both genres.... the haunted where the former atg guitar players are now located seemed have gone with more thrash then melody. (which is odd since they actually have atg's guitar players?) anyway enough comparisons! nightrage is really decent for a newer band in an over saturated scene... amazing guitar work and one of the genres best vocalist makes this cd well worth a couple of listens. also i've only given this album 2 spins at the current time and stuff like this usually grows on repeated listens. favorite songs: being nothing phantasma omen and descent into chaos. -4 stars if you liked agreed or appreciated this please click yes for: was this review helpful? ,positive,negative,positive,positive,positive,positive,positive,negative
 we are using this series of cds in our homeschool music program - they are fantastic! we especially love this one about bach - what an awesome man! the story of his life is told in a way that is very interesting and holds the children's attention while also using various pieces of his music in the narration. it is done very well! my children are gaining a tremendous amount of knowlege and appreciation for music through this cd and so are my husband and i ,positive,positive,positive,positive,positive,positive,positive,negative
 sing of mary is a work of art! the beauty of the music is only surpassed by the woman it praises...mary! god bless this cd.. ,positive,negative,positive,positive,positive,negative,negative,negative
 i liked this when it first came out b/c i was 16. i was a rebel wanted to be part of something different. this is their best work since the weirdness does get lame after a while. favorite song is mongoloid...totally strange but rocking song. uncontrollable urge rocks (in a weird way) and come back johnny is almost a conventional song. satisfaction is completely unique but its not a good song. the group was obviously trying to do more than music and develop a kiss multi media making money kind of thing. i saw them live (they were horrible) during their hey day. the most interesting thing about them is while other odd bands were eventually accepted and integrated into the mainstream devo is still as odd of a group as ever. mark motherbough does a lot of soundtrack work (rugrats) and you can hear the devo in all of his work. anybody that gives this novelty group 5 stars is cheapening what true excellent music is. devo came out as a goof not as serious musicians. they got big in the 70's b/c they were part of the new wave and kids (like me) were looking for alternative music that we can claim our own. ,positive,negative,negative,negative,negative,negative,negative,positive
 as he did with parade the soundtrack to his last vanity project under the cherry moon prince provides a musically invigorating soundtrack to graffiti bridge which is a hopelessly silly film. no matter. graffiti bridge prince's first album of the 90's is also one of prince's best albums of the 90's. new power generation serves as the title track to prince's new band and it's a powerful funky manifesto. the question of u is exotic and intoxicating. elephants and flowers is an upbeat song about spiritual redemption whereas tick tick bang is prince at his most joyously raunchy. although most of prince's material is exceptionally strong here the collaborations and contributions by other artists are a mixed bag. we can funk is a simmering duet between prince and funkmaster george clinton and tevin campbell provides some youthful exuberance to round and round. but the tracks by the time mostly fall flat. i've personally always found morris day to be a one-trick pony with his effete pimp routine and his one trick gets boring quickly. it's obvious that with graffiti bridge prince is trying to create the feel and atmosphere of a funky block party. but i can't help but wonder without the tracks featuring other artists if graffiti bridge wouldn't be more highly regarded as one of prince's better albums ,positive,negative,positive,positive,positive,positive,positive,negative
 i bought this cd because i figured it would be a fresh take on some old favoirites. well i'd like to say i loved it but i didnt. this cd just comes off as flat and lifeless. where as the original songs the kyle toucher on vocals versions had a certain edge the remakes make great material sound very mediocre. for those of you first discovering dr. knowl this may be the greatest cd in the world...the material is that good-but if you really want to experience dr. know buy their best of cd that was released on mystic records. this is the best version of dr. know. hope this helps ,negative,negative,negative,negative,negative,positive,negative,negative
 from the manic whirlwind prelude to the shocking cake and sodomy portrait of an american family is an album that stands on its own two feet as being catchy and memorable. cake and sodomy dishes out the obscene gestures lunchbox is told with a twist of humor organ grinder is pleasing vocally cyclops is addictingly wild get your gunn is catchy (if not overly insulting) dope hat is great and fierce and my monkey is hysterically enjoyable. snake eyes and sissies is another winner easy to get lost in. the rest all work to varying degrees though not as appealing. every song on this album is worth listening to from fast paced and rock style to techno overload. ,positive,negative,negative,negative,negative,positive,positive,positive
 i am a latecomer to the works of chopin unqualified to comment on dinu lipatti's technique and interpretation but this recording gives an interesting framework to explore the waltzes. they are numbered 1 through 14 in order of opus publication but on this disc lipatti shuffles them to form a cycle of his own devising. there are four waltzes in the key of a flat and it seems one challenge was to space them across the recital. contrast this to alexandre thaurad's cd where he clumps like-key waltzes into groups. (he also adds five more posthumous works.) most of chopin's waltzes start on the dominant meaning either the fifth note of the home key (the tonic the i) or a dominant seventh chord (v7) which leads to the tonic. lipatti uses this feature to string together his cycle. if for instance there were a waltz that ended on a c natural it could easily bring us to waltz no 4 which starts on an insistent c7 chord before rising to the home key of f major. i will use this as the starting point for tracing the harmonic relationships of the tracks on this cd. track 1: waltz no 4 in f grande valse brillante - as noted starts on the v7 and finishes on f in octaves. track 2: no 5 in a flat - begins on a trilling dominant eb but the note it trills up to is an f (which ended the previous track). finishes with a parting shot a turn in the bass ending on ab. track 3: no 6 in d flat minute waltz - starts on ab; the contour of the opening phrase echoes the gesture of the previous parting shot as well. ends in db. track 4: no 9 in a flat - has two pick up notes then hits a db on the downbeat of the first measure. the right hand ends on the ab above middle c. track 5: no 7 in c sharp minor - starts on a g sharp above middle c which is the same black key (enharmonic equivalent) of the previous ab. ends in c# minor. track 6: no 11 in g flat - starts with a pick-up turn then hits the downbeat with a db (enharmonic c#). ends on a gb in the treble clef. track 7: no 10 in b minor - starts quietly on the same note an f# (enharmonic gb). ends with a soft b in the bass clef. track 8: no 14 in e minor - first note is the exact same b in the bass. ends in e minor. track 9: no 3 in a minor - starts on an e in the bass melody. ends in a minor; keep in mind that minor third of this key is a c natural -- you can hear it in the melody of the third to last measure. track 10: no 8 in a flat - this is a side-stepping change of keys but there is an harmonic link to the previous waltz. instead of starting on the dominant this one begins on the major third -- c natural. track 11: no 12 in f minor - starts on the dominant -- c again. toggle back and forth between tracks 10 and 11 and you will hear that these two waltzes start on the exact same pitch. instead of ending in f minor this waltz closes in the relative major of ab. the last three notes are a rise and fall bb-c-ab. track 12: no 13 in d flat - there is a leading note before the dominant. the first three notes (bb-ab-f) fall and rise in a mirroring gesture to the final phrase of the previous. ends quietly in db. track 13: no 1 in e flat valse brillante - another side-stepping key change but there is a connection. if you toggle between tracks 12 and 13 you will hear the same initial note a bb -- quietly in the former boldly here. finishes resoundingly in the tonic eb. track 14: no 2 in a flat grande valse brillante - introduction in the dominant chord eb7. closes in ab. from here you could loop around to the beginning of the cycle again linking the major third (c natural) to the v7 that starts the f major waltz ,positive,negative,positive,positive,positive,positive,positive,negative
 this entire cd & hbo special is stolen material. all this material was originally written & performed by bill hicks. buy hicks dvd bill hicks live - satirist social critic stand-up comedian if you want the material in its true form http://www.amazon.com/exec/obidos/tg/detail/-/b0004z33fk/qid=1130712550/sr=1-1/ref=sr_1_1/104-5459925-2315938?v=glance&s=dvd bill hicks was also paid tribute on tool's aenima album ,positive,negative,positive,positive,positive,negative,negative,negative
 i must agree with the comments made by other reviewers. this album is great. nancy wilson's voice on this album is unlike anything i have ever heard. you can't honestly say you're a fan of jazz if you don't own this ,positive,negative,positive,negative,positive,negative,negative,negative
 i had originally heard drive away on a radio station and i was instantly blown away. upon seeing the music video for it i decided to buy the cd. i was hardly disappointed. the emotion that goes into the cd is amazing and it's definitly a cd to sit down and enjoy. i saw the band in concert and met jonah after the show and was amazed by how down to earth he was. give gratitude a chance and you won't be disappointed. ,positive,positive,positive,negative,positive,positive,negative,negative
 a truly glorious recording just what i want in music with brilliancy sensitivity and beauty. this is a must have for every music lover worth the name ,positive,positive,positive,positive,negative,negative,positive,negative
 once again the geniuses at universal have failed to give fans a decent collection! although the single disc very best of released in 2005 provided a fine and simplistic overview of robert palmer's career it omitted a few must have songs in favour of live material (making for a 90% ok collection). earlier anthologies also suffered invariably from redo syndrome: the artist redoing a vocal track here a drum mix there re-recording entire songs elsewhere. this collection's no different. in fact there are many remixed and redone and alternate vocal mixes present (something the very best of album avoided altogether much to its credit). here insult is further added to injury with poor song sequencing. indeed the classic and sequenced sailing shoes/hey julia/sneaking sally through the alley trilogy that marked the beginning of palmer's breakthrough album is present but the songs have been scattered apart from one another. thereby pondering the question: what were they thinking? why was this done in this manner? what do fans really want? a 2 disc set that features the original material (remastered yes but not remixed in any way shape or form) and a proper chronological sequence. done in this manner such a set would properly honour one of popdom's most memorable and talented individuals. what gold has done showed that compilers went through a rock encyclopedia took the right batch of songs but mish-mashed them in a half-cobbled manner. this collection does no one any favours. stick to very best of until another bright light at universal tries their hand at compiling a decent collection. that said the way the music biz is these days don't count on it. ,negative,negative,negative,negative,negative,positive,negative,positive
 i did not like this cd at all. there was not even one song that i liked. however given the positive result the cd received it may just have been my personal taste. i also got her new cds and did not like those eithe ,positive,negative,negative,positive,negative,positive,negative,negative
 ryuichi sakamoto's credibility is on the precipice with chasm a turgid unlistenable work of crud. check out coro and only love can conquer hate both sound like factory machinery at work. dire dreadful and diabolical. stop being the artiste ryuichi and have a go at entertaining. your fans deserve better ,negative,negative,negative,positive,positive,negative,negative,negative
 i would have to say that out of the countless bands i have heard over the past few years into eternity is one of the best and has one solid album here!! i think they have something a lot of bands do not have and the one cool thing about them is tim roth seems to give a real crud about his fans as he does guitar videos on his website to show you how you can break down his guitar riffs and that to me as a guitarist is so helpful (ive learned some of their songs this way) and this shows how he is not afraid to be the nicest guy and actually take that kind of time to be close and original to his fans.you just never see that these days. and the rest of this band has so much talent stu can scream like halford growl too and has a high vocal range and it makes them sound interesting. plus jims drum work how can anyone say this dude isnt one of the better drummers he is so tight but can slow it down and tempo change very well. this album plain rocks it should be known as these guys were on gigantour and rocked there too. be cool if them and annihilator went on tour. i have become very fond of them and hope they stick around and keep making great albums in a world overflowing with the same ole un-original bands that all sound the same! ,positive,negative,positive,positive,positive,positive,positive,positive
 before you all dismiss me as an obsessive close-minded thrash fanatic; i thoroughly enjoyed chaos ad which was a sep' album with the perfect balance of experimentation and death metal. i like the idea of experimenting with tribal sounds but with those sounds max decided to throw in downtuned guitars not doing guitar solos excessive profanity lame i hate this i hate that lyrics and guest musicians. the only decent songs on here are roots bloody roots and dictators***; everything else is awful. this isn't sepultura this is soulfly. i'm glad max left because if he stayed in the band sep' would have degenerated into a nu-metal band. for good sepultura albums get these instead (starting with the best): schizophrenia morbid visions/bestial devastation beneath the remains arise chaos ad dante xxi nation roorback ps you max fanatics need to cut derik green some slack he's keeping sep' alive while max is making an arse of himself with soulfly ,negative,negative,negative,positive,negative,negative,negative,negative
 marias and srayle if you like the guaraldi original then keep it and chuck the winston personally i think the winston performance is refreshing and a delightful 'twist' on guaraldi's works. the piano is brillaint sounding and at volume thru a good system sounds like there's a piano in the room. it should be emphatically understood you are buying winston in this case and not guaraldi. i have both versions ,positive,positive,negative,negative,positive,positive,negative,negative
 ignore the big word karaoke on the cover and the microphone shown this is just a music cd it does not display anything in a karaoke player ,negative,negative,negative,negative,positive,negative,negative,negative
 i bought kayslays pain from the game about a week before it came out in most stores(my local cd store likes to sell their copies ahead of schedule;). i read that it featured production by swizz beatz kanye west eminem and the heatmakerz. and as far as rappers go most of the shady/aftermath camp is on here somewhere along with a ton of other big artists (fat joe ghostface killah raekwon scarface memphis bleek and prodigy etc). so i expected this cd to be a big step up from the streetsweeper volume 1 mixtape (which i would give 3 stars at best). but for all the talent on this cd there's not many good songs. i thought the production was pretty weak. some no name guy produced most of the cd but even the kanye west swizz beatz and eminem tracks are pretty bland. if you have to have every song your favorite rapper or producer ever made grab this disc. if your looking for good music leave this one alone ,negative,negative,negative,negative,negative,negative,negative,negative
 released is the kind of album you put in kick your feet up with a good beverage and head off to someplace on the silverscreen of your mind that is pure tranquility. oster's trumpet echoes on long after the music is off. here's hoping there's more from this new and amazing artist ,positive,negative,positive,negative,positive,negative,positive,negative
 if you like early priest buy genocide. it has both rocka rolla and sad wings of destiny in their entirety(the only thing it does not have is the original album artwork). not leaving out important tracks like the ripper for pete's sake!!! how could you leave out the ripper? and what about island of domination? i feel sorry for anyone that bought this that is unfamiliar with priest. they got jipped and didn't even know it. these are my favorite albums by priest and i hate to see them butchered like this... and what about the order of the songs? why would they mess with that too? do youself a favor and buy either genocide or if you like to have the original artwork buy rocka rolla and sad wings of destiny seperately ,positive,negative,negative,negative,negative,negative,negative,negative
 i love it so. i bought it after seeing the video for make you feel that way and i haven't been disappointed. love the vibe of the cd...it just flows and the mix is well done as you go from a head-nodder to a smooth groove so seamlessly. i just put it in and let it play! my absolute favorite jam is nowhere fast which comments on what we were what we are and what we hope to be tomorrow. i love this cd so much i went and bought their other two full play cd's. i make my girls sick with how much i play this cd. i guess i'll eventually take it out the rotation maybe tomorrow! a must for anyone who loves great hip hop ,positive,positive,positive,negative,positive,negative,positive,negative
 excellent 24 track compilation of this surperb psychedelic dutch band. each tune was a single sometime between 1965-69. these guys are not to be confused with a u.s. band from the same era of the same name. cuts that make this cd a true keeper are sun's going down the tripping feel like i wanted to cry keep on trying the familiar sounding touch and ballad of john b. this is yet another band i've heard at least one or two tracks on the rhino release of 'original artyfacts: nuggets ii' 4-cd box set.should appeal to fans of pretty thingsq65early beatlescreation and the action.a must-have ,positive,negative,positive,positive,positive,positive,positive,negative
 this cd is not at all what it appears to be. they got other people singing and playing the music so it's not what you're probably looking for. terrible misrespresentation. i was so disappointed! thank goodness i used my other party cd's or my guests would have left......and i would have held the door open.....not blamed them for leaving! ,negative,negative,negative,negative,negative,negative,negative,negative
 no collection of blues/rock is complete without &quot;a piece of your soul&quot;. there very simply is not a weak track on the entire disc. from the raunchy (&quot;bitter rain&quot;) to the uplifting (&quot;good day for the blues&quot;) to the bittersweet (&quot;cynical&quot;) to the soft (&quot;share that smile&quot;) storyville encompasses the entire range of musical expression with a style that is as provocative as it is unique. put this disc on your list of music to have on a deserted island ,positive,positive,positive,negative,negative,positive,positive,positive
 i purchased this cd shortly after finding out that nickel creek would be disolving their union as a band. i hoped that this collection would be suitable for both myself (as a strong supporter of nickel creek) and my two children. this cd honestly fails to deliver a suitable substitution for the music that nickel creek produced over the past 7 years. although i guess that was an unrealistic expectation to have for this cd. you have to keep in mind that the members of nickel creek were just children themselves when they released this cd. i don't believe that they had found their true musical identity and they obviously wouldn't have reached their full musical potential yet. this cd isn't really the best for a todler either so i have to say that this purchase was a let down overall ,negative,negative,negative,positive,negative,negative,negative,negative
 this cd has alot of tight hits including: nann by trick daddy and who dat' by j.t. money. there are too many good songs to name for this cd those are the biggest i like and i like all the others too. i can practically just listen to the whole cd without stopping it which usually never happens with other cd's b/c u buy it for about 3 good songs and all the other songs are junk. but this cd has all the hip hop hits that it proclaims. i suggest anyone looking at this review or cd to buy the cd. it's worth it definetely! one last word is that you will have no regrets buying this cd at all i think in my own opinion.i am from st. louie and i am telling ya'll to look out for a new group called nelly also there hit single is already out &quot;country grammar&quot; and cd soon to be out. get that when it comes out to. peace out ya'll ,positive,negative,positive,negative,positive,negative,positive,negative
 i love this band and have all the rest of their cds ,negative,negative,negative,negative,negative,negative,negative,negative
 i saw the outlaws live twice in the early eighties and had a great time at both shows. this album is just plain fun to listen to and brings back some very fond memories ,positive,negative,positive,positive,positive,negative,positive,negative
 i can't fathom why anyone would enjoy this album. the lyrics must have come out of a dadaist poetry circle and (most of) the guitar work is completely without personality. what is the criterion of a good rock album? by any standards it must be a joy to play it. 6teen stone misses the mark by such dimensions one must assume it was intentional. but it doesn't so much incite anger than it does disdain for bush's attempts to emulate nirvana. where nirvana has clearly enunciated guitar riffs and minimalist evocative lyrics bush has dull throbbing guitar drones that project nothing to the listener but a kind of malaise-inspired anger. there's not much more to say about 6teen stone. i could tell you about the embarrassment of listening to the lyrics on songs like swim: thinning ice / 14 hairdryers / swimming to you / flame on earth desire. or the artistic suicide of the last track x-girlfriend a song composed of a little guitar-wailing and a non-stop chorus that's about six words long. that's about all i can tell you. mostly i figure i've done enough warning to let you make your own choice. if you do attempt this though you ought to be told the little good news that there is: there are about 5 minutes of good music are contained on the album split between machinehead and glycerine. the first is an energetic well-constructed song about control (you might have seen the music video for it about 11 years ago on total request live) the second a serenade featuring over-dubbed guitars a trembling cello and a surprisingly coherent rossdale. they hold the album; about as well as a couple of floor joists can hold a crumbling building. ,positive,negative,negative,negative,negative,negative,negative,positive
 might just be me--but this is one of those cd's that the song they play on the radio is the only decent one. maybe i'm too old for the rest--but wish i had kept the crystal so i could sell it on ebay ,positive,negative,negative,positive,negative,positive,negative,negative
